rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
83,HSPD1,5.1056799630686416e-08,-14.273240196975134,0.6943187355362347,6.435307802375781e-06,0.9979759359199556,0.9999999999964178,89,1.9651186419463065e-08,-14.943320611636185,0.540173253587932,2.5028526325414834e-07,0.9996008301939943,0.9999999999972699,86.0,89,False,False,False
92,ATP5MC1,4.558513231537767e-08,-14.354308144855354,0.6813215285987915,5.129896303440742e-06,0.9981928509102516,0.9999999999964178,81,2.6281201792070128e-08,-14.738708368016756,0.5731965947973099,4.4765987565781457e-07,0.999466156309756,0.9999999999972699,86.5,92,False,False,False
112,GPRC5A,2.1417357390780745e-08,-14.889877629729819,0.5954564289347632,1.1323844956036308e-06,0.9991509428242383,0.9999999999964178,62,4.8975397973541305e-06,-10.84935115410733,1.2009184167571854,0.015545821457309835,0.9007746085734534,0.9999999999972699,87.0,112,False,False,False
113,ANKRD42,2.1405630416902987e-08,-14.890263035978858,0.5953946387340152,1.1311447714295668e-06,0.9991514077213488,0.9999999999964178,64,5.859013553253956e-08,-14.168256404285067,0.6652645449289234,2.2248807236325525e-06,0.9988098731120667,0.9999999999972699,88.5,113,False,False,False
162,RASGEF1B,1.5073280463513719e-09,-16.708921378414107,0.3038185048461369,5.60890012562449e-09,0.9999402443583038,0.9999999999964178,19,1.7844565951819135e-05,-9.823151003966204,1.3665417299458942,0.2063809966846833,0.6496188511888672,0.9999999999972699,90.5,162,False,False,False
87,NDUFA1,4.9452357689788596e-08,-14.296092893321246,0.6906548803227313,6.0372081624057594e-06,0.9980395412905096,0.9999999999964178,95,1.7391480629138338e-08,-15.02894390065454,0.5263541045541067,1.9603374775486444e-07,0.9996467310490332,0.9999999999972699,91.0,95,False,False,False
108,VCAN,2.5309567236091615e-08,-14.772179274764852,0.614326400553344,1.5813630447603232e-06,0.9989966424112416,0.9999999999964178,79,2.6443239199238353e-08,-14.734369435552644,0.573896875702852,4.531970091918675e-07,0.9994628648836235,0.9999999999972699,93.5,108,False,False,False
159,BIRC3,4.723458829040126e-09,-15.937779173359715,0.42745176656502326,5.507853946562518e-08,0.9998127459303161,0.9999999999964178,30,1.4567035803959167e-05,-9.985975593347945,1.3402626966030455,0.13753084248243047,0.710748133158678,0.9999999999972699,94.5,159,False,False,False
103,ADGRG6,3.2343770257220826e-08,-14.59860919404753,0.6421539984662079,2.5825184555174943e-06,0.9987177828202694,0.9999999999964178,87,1.972626239816306e-08,-14.940644511205248,0.5406051621388483,2.522013109079256e-07,0.9995993051938901,0.9999999999972699,95.0,103,False,False,False
111,COX7A2,2.1991491176109782e-08,-14.871257332988927,0.5984417252979517,1.1939097640173927e-06,0.9991281822095687,0.9999999999964178,83,2.4701109712068583e-08,-14.782448984178856,0.5661370891358788,3.9544915996148545e-07,0.999498252333326,0.9999999999972699,97.0,111,False,False,False
98,UQCRC2,3.99106811754565e-08,-14.449146513098134,0.6661165810221967,3.932243717104808e-06,0.9984178050629499,0.9999999999964178,96,1.738549636871082e-08,-15.029184830363777,0.5263152197647368,1.9589886387759454e-07,0.999646852605864,0.9999999999972699,97.0,98,False,False,False
