"task_id","auc","type"
729,0.246666666666667,"label permutation"
730,0.57,"label permutation"
731,0.403333333333333,"label permutation"
732,0.236666666666667,"label permutation"
733,0.353333333333333,"label permutation"
734,0.403333333333333,"label permutation"
735,0.456666666666667,"label permutation"
736,0.443333333333333,"label permutation"
737,0.32,"label permutation"
738,0.533333333333333,"label permutation"
739,0.636666666666667,"label permutation"
740,0.546666666666667,"label permutation"
741,0.281666666666667,"label permutation"
742,0.25,"label permutation"
743,0.713333333333333,"label permutation"
744,0.286666666666667,"label permutation"
745,0.323333333333333,"label permutation"
746,0.29,"label permutation"
747,0.345,"label permutation"
748,0.306666666666667,"label permutation"
749,0.536666666666667,"label permutation"
750,0.63,"label permutation"
751,0.336666666666667,"label permutation"
752,0.333333333333333,"label permutation"
753,0.463333333333333,"label permutation"
754,0.333333333333333,"label permutation"
755,0.39,"label permutation"
756,0.383333333333333,"label permutation"
757,0.4,"label permutation"
758,0.3,"label permutation"
759,0.72,"label permutation"
760,0.371666666666667,"label permutation"
761,0.496666666666667,"label permutation"
762,0.57,"label permutation"
763,0.303333333333333,"label permutation"
764,0.56,"label permutation"
765,0.21,"label permutation"
766,0.583333333333333,"label permutation"
767,0.503333333333333,"label permutation"
768,0.365,"label permutation"
769,0.446666666666667,"label permutation"
770,0.333333333333333,"label permutation"
771,0.493333333333333,"label permutation"
772,0.403333333333333,"label permutation"
773,0.4,"label permutation"
774,0.693333333333333,"label permutation"
775,0.84,"label permutation"
776,0.296666666666667,"label permutation"
777,0.52,"label permutation"
778,0.443333333333333,"label permutation"
779,0.363333333333333,"label permutation"
780,0.486666666666667,"label permutation"
781,0.48,"label permutation"
782,0.37,"label permutation"
783,0.593333333333333,"label permutation"
784,0.361666666666667,"label permutation"
785,0.446666666666667,"label permutation"
786,0.816666666666667,"label permutation"
787,0.343333333333333,"label permutation"
788,0.4,"label permutation"
789,0.663333333333333,"label permutation"
790,0.35,"label permutation"
791,0.546666666666667,"label permutation"
792,0.31,"label permutation"
793,0.7,"label permutation"
794,0.496666666666667,"label permutation"
795,0.473333333333333,"label permutation"
796,0.19,"label permutation"
797,0.326666666666667,"label permutation"
798,0.39,"label permutation"
799,0.596666666666667,"label permutation"
800,0.383333333333333,"label permutation"
801,0.496666666666667,"label permutation"
802,0.683333333333333,"label permutation"
803,0.703333333333333,"label permutation"
804,0.63,"label permutation"
805,0.653333333333333,"label permutation"
806,0.42,"label permutation"
807,0.646666666666667,"label permutation"
808,0.356666666666667,"label permutation"
809,0.288333333333333,"label permutation"
810,0.333333333333333,"label permutation"
811,0.266666666666667,"label permutation"
812,0.423333333333333,"label permutation"
813,0.273333333333333,"label permutation"
814,0.32,"label permutation"
815,0.343333333333333,"label permutation"
816,0.326666666666667,"label permutation"
817,0.38,"label permutation"
818,0.65,"label permutation"
819,0.483333333333333,"label permutation"
820,0.736666666666667,"label permutation"
821,0.496666666666667,"label permutation"
822,0.35,"label permutation"
823,0.408333333333333,"label permutation"
824,0.523333333333333,"label permutation"
825,0.59,"label permutation"
826,0.383333333333333,"label permutation"
827,0.61,"label permutation"
828,0.453333333333333,"label permutation"
829,0.606666666666667,"label permutation"
830,0.553333333333333,"label permutation"
831,0.446666666666667,"label permutation"
832,0.33,"label permutation"
833,0.503333333333333,"label permutation"
834,0.276666666666667,"label permutation"
835,0.493333333333333,"label permutation"
836,0.703333333333333,"label permutation"
837,0.483333333333333,"label permutation"
838,0.353333333333333,"label permutation"
839,0.576666666666667,"label permutation"
840,0.536666666666667,"label permutation"
841,0.52,"label permutation"
842,0.676666666666667,"label permutation"
843,0.345,"label permutation"
844,0.366666666666667,"label permutation"
845,0.61,"label permutation"
846,0.55,"label permutation"
847,0.453333333333333,"label permutation"
848,0.361666666666667,"label permutation"
849,0.343333333333333,"label permutation"
850,0.46,"label permutation"
851,0.736666666666667,"label permutation"
852,0.623333333333333,"label permutation"
853,0.623333333333333,"label permutation"
854,0.453333333333333,"label permutation"
855,0.426666666666667,"label permutation"
856,0.446666666666667,"label permutation"
857,0.396666666666667,"label permutation"
858,0.536666666666667,"label permutation"
859,0.42,"label permutation"
860,0.486666666666667,"label permutation"
861,0.36,"label permutation"
862,0.473333333333333,"label permutation"
863,0.593333333333333,"label permutation"
864,0.216666666666667,"label permutation"
865,0.753333333333333,"label permutation"
866,0.436666666666667,"label permutation"
867,0.391666666666667,"label permutation"
868,0.496666666666667,"label permutation"
869,0.33,"label permutation"
870,0.42,"label permutation"
871,0.526666666666667,"label permutation"
872,0.4,"label permutation"
873,0.266666666666667,"label permutation"
874,0.443333333333333,"label permutation"
875,0.57,"label permutation"
876,0.4,"label permutation"
877,0.35,"label permutation"
878,0.506666666666667,"label permutation"
879,0.42,"label permutation"
880,0.466666666666667,"label permutation"
881,0.468333333333333,"label permutation"
882,0.496666666666667,"label permutation"
883,0.613333333333333,"label permutation"
884,0.686666666666667,"label permutation"
885,0.543333333333333,"label permutation"
886,0.4,"label permutation"
887,0.5,"label permutation"
888,0.463333333333333,"label permutation"
889,0.68,"label permutation"
890,0.43,"label permutation"
891,0.315,"label permutation"
