"donor","state","gene","PC1","PC2"
"hoa2","WT","PPP1R14A",0.00641601332857869,0.000308648121801667
"hoa2","WT","PRDX1",-0.00625602949002172,0.00489197287485814
"hoa2","WT","PRDX2",-0.0114347392926979,0.0082238961706207
"hoa2","WT","PRDX3",0.00028652633907558,0.00221868319536188
"hoa2","WT","PRDX5",-0.0120716085590336,0.00718751848156338
"hoa2","WT","PRKX",0.00726780288946559,0.000987240579799583
"hoa2","WT","RASGEF1B",-4.82925589076293e-06,0.000844395237390565
"hoa2","WT","RCAN1",-0.00517626496705642,0.00499913259841692
"hoa2","WT","RELA",-0.00273826697332334,0.00438877835341465
"hoa2","WT","RGS16",-0.00640623284908434,0.00534457137077061
"hoa2","WT","RGS2",0.000111168292813904,-0.000176207491722221
"hoa2","WT","RHEB",-0.00664386429387974,0.0057064906484742
"hoa2","WT","RND1",-0.0064245821301892,0.00478230160232823
"hoa2","WT","RND3",1.35816742669212e-05,3.60552875513663e-05
"hoa2","WT","RNPC3",-0.00061498185759088,0.00329652976568903
"hoa2","WT","RPL32P3",-0.0230087535830865,-0.125564012445176
"hoa2","WT","RPS6KA5",0.00190829097320529,0.00212488036268761
"hoa2","WT","RPS6KB1",-0.00507899498135528,0.00423929496539484
"hoa2","WT","RRN3P1",-0.0182371096870526,-0.12968310041573
"hoa2","WT","SELE",-0.00697957472678453,0.00492800984456257
"hoa2","WT","SEMA3A",-0.00522901626356195,0.00492883007845919
"hoa2","WT","SEMA3G",0.00673658099878089,0.000125322378253587
"hoa2","WT","SEMA4A",-0.00144297685850755,0.00287666101312738
"hoa2","WT","SERPINE1",-0.00528186265886516,0.00486944519148251
"hoa2","WT","SIPA1L2",0.00724716787823757,0.000100057441351173
"hoa2","WT","SLC25A44",-0.0025366722892961,0.0034805128779491
"hoa2","WT","SLC26A2",0.00428295653151811,0.00171885917728594
"hoa2","WT","SLC4A7",0.00345069929521288,0.00250767251591842
"hoa2","WT","SLC5A3",-0.00213287773804224,0.00465080067691529
"hoa2","WT","SLC6A6",0.00707393965559518,0.000112958173008325
"hoa2","WT","SNORD3A",-0.00300208433145743,0.00435358002380647
"hoa2","WT","SOD1",-0.00726080166893857,0.0051597178100046
"hoa2","WT","SOD2",-0.00380178606008425,0.0039823034742489
"hoa2","WT","SOX13",0.00832141736831406,-0.000196256034839292
"hoa2","WT","SOX17",0.00440969368401343,0.00121252823975849
"hoa2","WT","SQSTM1",-0.00234396132986656,0.00235589472942141
