"variant","donor","state","gene","PC1","PC2"
"primary","hoa3","WT","GCNT2",0.00171704114273384,-0.00358854001770457
"primary","hoa3","WT","GIGYF1",-0.035518103121591,-0.0215132677392128
"primary","hoa3","WT","GIGYF2",0.129154744831225,0.0306337939067566
"primary","hoa3","WT","GPRC5A",-0.0051221833904552,4.04357354486216e-05
"primary","hoa3","WT","GPRC5B",-0.0033454981777271,-0.00940409130434233
"primary","hoa3","WT","GPX4",-0.0369588319983052,-0.0124466487480402
"primary","hoa3","WT","H19",-0.0121205357171819,-0.0122837096434078
"primary","hoa3","WT","HBEGF",-0.00691581827937185,-0.00158155235196228
"primary","hoa3","WT","HES1",-0.00444886596356115,2.93724615781022e-05
"primary","hoa3","WT","HIF1A",-0.00754572807648053,0.00117571784534836
"primary","hoa3","WT","HLA-DQA1",-0.0407659355915014,-0.021788637050542
"primary","hoa3","WT","HMOX1",-0.00790780450634467,-0.00063379904355632
"primary","hoa3","WT","HSPD1",-0.276977662729522,-0.0985018580701245
"primary","hoa3","WT","HSPE1",0.00857019113052853,-0.00446908335335049
"primary","hoa3","WT","HTRA2",0.704374933201188,0.122666382947448
"primary","hoa3","WT","ICAM1",-0.0125516313963927,0.00264496639578039
"primary","hoa3","WT","ICAM4",-0.00764589847301147,-8.75447473722524e-05
"primary","hoa3","WT","IER3",-0.00625996578444475,0.000864548263226879
"primary","hoa3","WT","IFIT1",0.0144241379020111,-0.00159255853623459
"primary","hoa3","WT","IFIT2",4.66360011277747e-16,4.70846426488739e-16
"primary","hoa3","WT","IFIT3",0.00386898743567505,-0.00478453679312785
"primary","hoa3","WT","IFT88",0.00263488475716432,-0.000346442189299806
"primary","hoa3","WT","IGFBP5",-2.13877259408044e-14,-1.15116621529488e-14
"primary","hoa3","WT","IKBKB",0.00277293219012116,-0.00417525198533752
"primary","hoa3","WT","IL32",0.00104769076744543,-0.00747993050588048
"primary","hoa3","WT","INF2",-0.0123343558156977,-0.00638777687235599
"primary","hoa3","WT","INHBB",0.00391914124676197,-0.00481585036987285
"primary","hoa3","WT","INMT",0.00232982138520688,-0.000149120351301616
"primary","hoa3","WT","IRF3",-0.0332418873940216,-0.0195996892407665
"primary","hoa3","WT","IRF7",-0.0369939848413497,-0.0212019052172066
"primary","hoa3","WT","ISG15",0.00596898627761444,-0.00558887082958683
"primary","hoa3","WT","JAG1",0.0050114443588489,-0.00627656391335894
"primary","hoa3","WT","JAG2",0.00456704613956245,-0.00654968617910258
"primary","hoa3","WT","KCNQ1OT1",-0.00853866117610863,-0.00212653909439818
"primary","hoa3","WT","KDM6B",-0.00773001136691954,-0.00105399428239807
"primary","hoa3","WT","KDR",-0.00176685376442279,-0.00525834727818738
"primary","hoa3","WT","KEAP1",-0.00978662474888112,-0.00482796287447519
"primary","hoa3","WT","KIAA0040",-0.00307947265153529,0.00101176493365944
"primary","hoa3","WT","LAMA3",0.00400108726586036,-0.00689264019196534
"primary","hoa3","WT","LATS1",-0.0170961327774715,-0.00570587836967342
"primary","hoa3","WT","LATS2",0.000130528508086412,-6.93194995319999e-05
"primary","hoa3","WT","LCN6",-0.00143074031676751,-0.00132755012693325
"primary","hoa3","WT","LEPR",0.00480622425613027,-0.00616208697823678
"primary","hoa3","WT","LGALS1",-0.00994365159704948,-0.0118497775532351
"primary","hoa3","WT","LINC00472",4.75926179721865e-14,2.52236390209879e-14
"primary","hoa3","WT","LONP1",0.00370734331611299,-0.000324417089952575
"primary","hoa3","WT","LRG1",-0.000885897544932643,0.000255260056590601
"primary","hoa3","WT","LTBP4",0.00568753851985033,-0.00600137120084887
"primary","hoa3","WT","MAP1B",0.00471875101382493,-0.0059884180892408
"primary","hoa3","WT","MAP1LC3B",-0.00494896941121869,-0.000521504764929749
"primary","hoa3","WT","MCAM",0.00436352450185408,-0.00655402809776645
"primary","hoa3","WT","MCL1",-0.0058248726354264,-0.000335713809923256
"primary","hoa3","WT","MEOX2",-0.0340760917380457,-0.0212230445572353
"primary","hoa3","WT","MET",0.00949794305616162,-0.00568870792084601
"primary","hoa3","WT","MFF",-0.0128858772872933,-0.00474845826084026
"primary","hoa3","WT","MFN1",-0.000123109716749475,-0.00103881055178995
"primary","hoa3","WT","MFN2",0.000133830459272432,-3.45154057955741e-05
"primary","hoa3","WT","MGP",0.00588559139956955,-0.0051444002170182
"primary","hoa3","WT","MIGA1",0.00718067628935318,-0.00480423430665993
"primary","hoa3","WT","MIR222HG",-0.00816868004501771,0.00042906279941237
"primary","hoa3","WT","MIR22HG",-0.00630853896550484,-0.00169906993692402
"primary","hoa3","WT","MMP2",0.00345323500089939,-0.00661430412023571
"primary","hoa3","WT","MSX1",-0.00645547842027036,-0.00106705165731546
"primary","hoa3","WT","MT-ATP6",-0.0065478741744902,-0.00628411682525109
"primary","hoa3","WT","MT-CO1",-0.00465915420926113,-0.00890275341312465
"primary","hoa3","WT","MT-CO2",-0.012318561575615,-0.00810276398875481
"primary","hoa3","WT","MT-ND1",-0.0042999509106694,-0.00402034804796134
"primary","hoa3","WT","MT-ND4",-0.00669918034772011,-0.00666068374534155
"primary","hoa3","WT","MT1E",-1.91908628308996e-13,-1.20551228415161e-13
"primary","hoa3","WT","MT1X",0.000720858416608963,0.00159831594803055
"primary","hoa3","WT","MT2A",-0.00738577939786136,0.000700219005581845
"primary","hoa3","WT","MTCH2",-0.0035128288303995,-0.00068644485276758
"primary","hoa3","WT","MTFR1L",-0.000938038975601606,-0.0020485994385827
"primary","hoa3","WT","MTOR",-0.000433336151268389,8.5052681718107e-05
"primary","hoa3","WT","MX1",0.00585441181307772,-0.00241028362204106
"primary","hoa3","WT","NBR1",0.0289900292569485,0.00389726511206554
"primary","hoa3","WT","NDUFA1",0.127276713901248,0.015966131836682
"primary","hoa3","WT","NDUFB8",0.021374809577871,-0.0313063724623078
"primary","hoa3","WT","NDUFS1",0.00623036362817839,-0.00318209577305946
"primary","hoa3","WT","NFE2L2",-0.00645664278965405,-0.000423274308525908
"primary","hoa3","WT","NFKB1",-0.00554673668162083,-0.00105431618696852
"primary","hoa3","WT","NFKBIA",-0.00847615776341981,0.0032152511644248
"primary","hoa3","WT","NIBAN1",0.00543811010332114,-0.00414945358893284
"primary","hoa3","WT","NR4A1",-0.00508357699574658,-0.00342674555745852
"primary","hoa3","WT","NR4A2",-0.00530927252064554,-0.000640450164128222
