TF,Liao_KW_p,Liao_KW_method,ONFH_3A_vs_HOA_effect,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_ONFH_3A_effect,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_4_vs_HOA_effect,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_effect_descriptive,Liao_KW_fdr,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr
FOXM1,0.3821428571428571,"exhaustive permutation, tie-corrected",0.060262388395272204,0.060262388395272204,0.5555555555555556,0.4,0.1,0.223148943895091,0.18451290108856855,0.5555555555555556,0.4,0.1,0.2834113322903632,0.24127267988013668,0.5555555555555556,0.4,0.1,1.1772787926785986,0.9764359351988219,1.0,1.0,1.0
FOXO1,0.13214285714285715,"exhaustive permutation, tie-corrected",0.2455825778284697,0.13746110577851,0.33333333333333326,0.7,0.1,-0.6798092273614147,-0.5270946162550303,-0.7777777777777778,0.2,0.1,-0.434226649532945,-0.434226649532945,-1.0,0.1,0.1,-0.8249247525063557,0.9764359351988219,1.0,1.0,1.0
FOXO3,0.3821428571428571,"exhaustive permutation, tie-corrected",-0.1878176600381125,-0.2023553358449397,-0.33333333333333337,0.7,0.1,-0.2629920805332948,-0.2613178068689286,-0.33333333333333337,0.7,0.1,-0.4508097405714073,-0.4636731427138683,-0.7777777777777778,0.2,0.1,-1.3992318700066537,0.9764359351988219,1.0,1.0,1.0
FOXO4,0.7214285714285714,"exhaustive permutation, tie-corrected",-0.22005792305263716,-0.22005792305263716,-0.11111111111111116,1.0,0.1,-0.12509358635524093,-0.12509358635524093,-0.11111111111111116,1.0,0.1,-0.3451515094078781,-0.3451515094078781,-0.5555555555555556,0.4,0.1,-0.8670297824795921,0.9764359351988219,1.0,1.0,1.0
GATA1,0.7214285714285714,"exhaustive permutation, tie-corrected",-0.019788926481361546,-0.005113980914656202,-0.11111111111111116,1.0,0.1,0.006563092722205344,-0.005691940225209691,-0.11111111111111116,1.0,0.1,-0.013225833759156203,-0.013225833759156203,-0.5555555555555556,0.4,0.1,0.0029742486269186408,0.9764359351988219,1.0,1.0,1.0
GATA2,0.9928571428571429,"exhaustive permutation, tie-corrected",-0.14804028827645466,-0.03571665069274044,-0.11111111111111116,1.0,0.1,0.21053702367313454,0.07105504756314396,0.11111111111111116,1.0,0.1,0.06249673539667988,0.03533839687040352,0.11111111111111116,1.0,0.1,0.07524614838543986,1.0,1.0,1.0,1.0
GATA3,0.3392857142857143,"exhaustive permutation, tie-corrected",-0.060773459416386955,-0.014137942488638977,-0.11111111111111116,1.0,0.1,0.3414516654294583,0.07992614088835248,0.7777777777777777,0.2,0.1,0.28067820601307136,0.2302553740374522,0.5555555555555556,0.4,0.1,0.5701977087131345,0.9764359351988219,1.0,1.0,1.0
GLI2,0.5107142857142857,"exhaustive permutation, tie-corrected",-0.3181998225549824,-0.3107343241926158,-0.33333333333333337,0.7,0.1,0.15444592704302318,0.15444592704302318,0.7777777777777777,0.2,0.1,-0.16375389551195924,-0.16375389551195924,-0.33333333333333337,0.7,0.1,-0.11367069108944888,0.9764359351988219,1.0,1.0,1.0
HIF1A,0.6285714285714286,"exhaustive permutation, tie-corrected",-0.13747865055471165,-0.13747865055471165,-0.11111111111111116,1.0,0.1,-0.14297617108721372,-0.14297617108721372,-0.33333333333333337,0.7,0.1,-0.28045482164192537,-0.28045482164192537,-0.5555555555555556,0.4,0.1,0.4490051791511358,0.9764359351988219,1.0,1.0,1.0
HNF4A,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.23420540142057278,-0.23420540142057278,-0.33333333333333337,0.7,0.1,0.30207076026153845,0.2920816428675904,0.33333333333333326,0.7,0.1,0.06786535884096567,0.004005797728435789,0.11111111111111116,1.0,0.1,-0.4474648899321837,0.9764359351988219,1.0,1.0,1.0
HSF1,0.19642857142857142,"exhaustive permutation, tie-corrected",-1.7977706462790621,-2.309045745735459,-1.0,0.1,0.1,1.8595348694904121,1.8595348694904121,0.5555555555555556,0.4,0.1,0.06176422321135,-0.6813265253953311,-0.11111111111111116,1.0,0.1,0.5959323490075175,0.9764359351988219,1.0,1.0,1.0
IRF1,0.8285714285714286,"exhaustive permutation, tie-corrected",0.169403005290526,0.169403005290526,0.33333333333333326,0.7,0.1,-0.045810411279499474,-0.08078122310148239,-0.33333333333333337,0.7,0.1,0.12359259401102651,-0.02477707661195927,-0.11111111111111116,1.0,0.1,0.005857323775660506,0.9764359351988219,1.0,1.0,1.0
JUN,0.8285714285714286,"exhaustive permutation, tie-corrected",0.6943343663788291,0.6943343663788291,0.33333333333333326,0.7,0.1,-0.423333967561653,-0.08303313970547066,-0.11111111111111116,1.0,0.1,0.2710003988171761,0.2710003988171761,0.33333333333333326,0.7,0.1,0.663402716355348,0.9764359351988219,1.0,1.0,1.0
JUND,0.4392857142857143,"exhaustive permutation, tie-corrected",0.29168583057055525,0.29168583057055525,0.33333333333333326,0.7,0.1,0.14166567235913463,0.14166567235913463,0.11111111111111116,1.0,0.1,0.4333515029296899,0.4333515029296899,0.7777777777777777,0.2,0.1,-0.18247819424439124,0.9764359351988219,1.0,1.0,1.0
KLF4,0.9285714285714286,"exhaustive permutation, tie-corrected",-0.08686787120945327,-0.08686787120945327,-0.11111111111111116,1.0,0.1,0.022667220495552032,0.022667220495552032,0.11111111111111116,1.0,0.1,-0.06420065071390124,-0.06657295367250327,-0.33333333333333337,0.7,0.1,-1.0851663803992766,0.9764359351988219,1.0,1.0,1.0
KMT2A,0.19642857142857142,"exhaustive permutation, tie-corrected",-0.20245658419990303,-0.20245658419990303,-1.0,0.1,0.1,-0.03165435235749262,0.10917665188133072,0.11111111111111116,1.0,0.1,-0.23411093655739565,-0.22332323170623597,-0.5555555555555556,0.4,0.1,-0.34353315016457486,0.9764359351988219,1.0,1.0,1.0
LEF1,0.23214285714285715,"exhaustive permutation, tie-corrected",-0.1976425321308134,-0.1976425321308134,-0.7777777777777778,0.2,0.1,0.11904383821522763,0.11904383821522763,0.7777777777777777,0.2,0.1,-0.07859869391558577,0.0035921903006215228,0.11111111111111116,1.0,0.1,0.3013170216280875,0.9764359351988219,1.0,1.0,1.0
MEF2C,0.3821428571428571,"exhaustive permutation, tie-corrected",-0.33341092260152605,-0.33341092260152605,-0.5555555555555556,0.4,0.1,0.28712305417015527,0.28712305417015527,0.5555555555555556,0.4,0.1,-0.04628786843137078,-0.04628786843137078,-0.5555555555555556,0.4,0.1,-0.4305741602412385,0.9764359351988219,1.0,1.0,1.0
MITF,0.29642857142857143,"exhaustive permutation, tie-corrected",0.15443738791386807,0.15443738791386807,0.33333333333333326,0.7,0.1,0.06608604176450561,0.06608604176450561,0.11111111111111116,1.0,0.1,0.22052342967837368,0.22052342967837368,1.0,0.1,0.1,0.3865403930860699,0.9764359351988219,1.0,1.0,1.0
MYB,0.16785714285714284,"exhaustive permutation, tie-corrected",0.0698777267122837,0.0698777267122837,0.33333333333333326,0.7,0.1,0.13681957724077298,0.13681957724077298,0.5555555555555556,0.4,0.1,0.2066973039530567,0.2524509855722429,1.0,0.1,0.1,0.5299618476419702,0.9764359351988219,1.0,1.0,1.0
MYC,0.8785714285714286,"exhaustive permutation, tie-corrected",-0.2790687907334011,-0.27255705184214474,-0.11111111111111116,1.0,0.1,0.06191994757524277,-0.09352020827775398,-0.11111111111111116,1.0,0.1,-0.2171488431581583,-0.2171488431581583,-0.33333333333333337,0.7,0.1,-0.2620517951000778,0.9764359351988219,1.0,1.0,1.0
MYCN,0.29642857142857143,"exhaustive permutation, tie-corrected",-0.3936977767156008,-0.23098928581287315,-0.7777777777777778,0.2,0.1,0.010582695238690265,0.010582695238690265,0.33333333333333326,0.7,0.1,-0.38311508147691054,-0.22860230846394303,-0.5555555555555556,0.4,0.1,0.4482473015769211,0.9764359351988219,1.0,1.0,1.0
NFE2L2,0.8285714285714286,"exhaustive permutation, tie-corrected",0.33064765870497537,0.33064765870497537,0.33333333333333326,0.7,0.1,-0.0546071099093588,-0.0546071099093588,-0.11111111111111116,1.0,0.1,0.27604054879561657,0.27604054879561657,0.33333333333333326,0.7,0.1,0.09096843942639499,0.9764359351988219,1.0,1.0,1.0
NFIC,0.5428571428571428,"exhaustive permutation, tie-corrected",-0.30368867041080416,-0.30368867041080416,-0.5555555555555556,0.4,0.1,0.1815234879212888,0.1815234879212888,0.33333333333333326,0.7,0.1,-0.12216518248951536,-0.12216518248951536,-0.33333333333333337,0.7,0.1,0.1758428386413564,0.9764359351988219,1.0,1.0,1.0
NFKB1,0.8785714285714286,"exhaustive permutation, tie-corrected",0.6798860725417062,0.6798860725417062,0.33333333333333326,0.7,0.1,-0.6844521678181956,-0.5689490875873506,-0.11111111111111116,1.0,0.1,-0.004566095276489435,0.33844570237089,0.11111111111111116,1.0,0.1,0.19198540955239052,0.9764359351988219,1.0,1.0,1.0
NFKB2,0.6642857142857143,"exhaustive permutation, tie-corrected",0.33805616373792147,0.33805616373792147,0.33333333333333326,0.7,0.1,-0.13155347395855244,-0.13155347395855244,-0.11111111111111116,1.0,0.1,0.20650268977936903,0.31084079279535365,0.5555555555555556,0.4,0.1,0.1141819189384864,0.9764359351988219,1.0,1.0,1.0
NR3C1,0.8285714285714286,"exhaustive permutation, tie-corrected",0.04422766879934403,0.09356467522777517,0.33333333333333326,0.7,0.1,0.044685812693598836,-0.027442447028903305,-0.11111111111111116,1.0,0.1,0.08891348149294287,0.08891348149294287,0.33333333333333326,0.7,0.1,0.005506213936345428,0.9764359351988219,1.0,1.0,1.0
PAX5,0.4392857142857143,"exhaustive permutation, tie-corrected",-0.07413528589567775,-0.06446352964197988,-0.33333333333333337,0.7,0.1,0.1399960667564405,0.12716888027098416,0.5555555555555556,0.4,0.1,0.06586078086076275,0.06586078086076275,0.5555555555555556,0.4,0.1,0.09482464569891824,0.9764359351988219,1.0,1.0,1.0
POU2F1,0.7214285714285714,"exhaustive permutation, tie-corrected",0.22869130827957698,0.10497385021089621,0.33333333333333326,0.7,0.1,0.27081277242808943,0.27081277242808943,0.33333333333333326,0.7,0.1,0.4995040807076664,0.380431035307761,0.33333333333333326,0.7,0.1,0.9487787396984788,0.9764359351988219,1.0,1.0,1.0
PPARA,0.8285714285714286,"exhaustive permutation, tie-corrected",0.03285566727338329,0.006472150028166146,0.11111111111111116,1.0,0.1,-0.27058665904659984,-0.26139066011546264,-0.33333333333333337,0.7,0.1,-0.23773099177321655,-0.23845202150574885,-0.33333333333333337,0.7,0.1,-1.0355264255694188,0.9764359351988219,1.0,1.0,1.0
PPARG,0.16785714285714284,"exhaustive permutation, tie-corrected",-0.46575804709910873,-0.46575804709910873,-0.5555555555555556,0.4,0.1,-0.26640049365136576,-0.2864623073075354,-0.33333333333333337,0.7,0.1,-0.7321585407504745,-0.7321585407504745,-1.0,0.1,0.1,-1.704564366440788,0.9764359351988219,1.0,1.0,1.0
RARA,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.3538236975735649,-0.282534152064028,-0.33333333333333337,0.7,0.1,0.3366286644044927,0.1628071951097536,0.33333333333333326,0.7,0.1,-0.017195033169072227,-0.017195033169072227,-0.11111111111111116,1.0,0.1,-0.36986639476206284,0.9764359351988219,1.0,1.0,1.0
