,baseMean,log2FoldChange,inferential_status
RPL5,11190.781509296225,-1.0139371612706705,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
JUN,14114.18571611175,-1.7655869028165156,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HOXB9,52.53864110902672,-3.44634418184517,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PLPP3,1549.1713008205536,-1.82169300550469,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ACACB,327.9697097008007,-1.9622520065609679,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CKB,75.77418143918219,3.2778436489018725,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NXT1,382.9782230510699,-1.3623009038840557,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PDE1C,51.87454690775752,4.090224014774181,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SH3BGRL2,300.90324857763295,-1.8714304299394982,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
FXYD6,700.6441211825837,-1.7709104315466584,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
IL3RA,644.1553912005971,1.3234817361910554,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CD300LG,433.7973820982405,-3.945968265725708,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COLGALT1,419.77168673334563,1.4793985955144766,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MEG8,39.795700841464615,6.165616528543023,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TRNP1,46.456469922649475,5.362970593013952,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PDLIM7,471.31580893125243,1.2120975265991325,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
OAF,469.7585534756155,1.1854954753050126,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
