perm_id,perm_auc,perm_repeat_auc_mean
277,0.37,0.39
278,0.4033333333333333,0.426
279,0.32,0.39266666666666666
280,0.39,0.43800000000000006
281,0.6166666666666666,0.5886666666666667
282,0.52,0.5313333333333333
283,0.5933333333333334,0.5720000000000001
284,0.5266666666666667,0.542
285,0.4166666666666667,0.41
286,0.7566666666666668,0.72
287,0.51,0.46333333333333326
288,0.41000000000000003,0.4726666666666667
289,0.6966666666666668,0.662
290,0.24333333333333332,0.33799999999999997
291,0.32000000000000006,0.4066666666666666
292,0.41000000000000003,0.44333333333333336
293,0.4633333333333333,0.48533333333333334
294,0.37666666666666665,0.4779999999999999
295,0.44666666666666666,0.43533333333333335
296,0.5233333333333333,0.5173333333333334
297,0.29833333333333334,0.3766666666666666
298,0.42666666666666675,0.39266666666666666
299,0.4666666666666667,0.4826666666666667
300,0.7466666666666666,0.712
301,0.4733333333333334,0.4680000000000001
302,0.42666666666666664,0.4373333333333333
303,0.5733333333333334,0.5166666666666666
304,0.7066666666666667,0.6386666666666667
305,0.5633333333333334,0.516
306,0.5766666666666667,0.5633333333333332
307,0.38333333333333336,0.45
308,0.5,0.5026666666666666
309,0.4033333333333333,0.45866666666666667
310,0.5599999999999999,0.5599999999999999
311,0.5966666666666667,0.5973333333333335
312,0.39,0.442
313,0.47,0.47333333333333333
314,0.29333333333333333,0.378
315,0.3466666666666667,0.42666666666666664
316,0.5533333333333332,0.492
317,0.7066666666666667,0.6073333333333333
318,0.22666666666666668,0.37266666666666665
319,0.48166666666666663,0.4493333333333334
320,0.36,0.4693333333333333
321,0.53,0.496
322,0.4766666666666667,0.5093333333333334
323,0.33666666666666667,0.42666666666666664
324,0.31666666666666665,0.44400000000000006
325,0.6166666666666667,0.6393333333333333
326,0.37166666666666665,0.384
327,0.7033333333333334,0.6799999999999999
328,0.42666666666666664,0.43866666666666665
329,0.4566666666666667,0.49800000000000005
330,0.48333333333333334,0.4926666666666667
331,0.4666666666666666,0.4646666666666667
332,0.5800000000000001,0.576
333,0.6366666666666666,0.608
334,0.5433333333333333,0.522
335,0.37166666666666665,0.372
336,0.41333333333333333,0.4533333333333333
337,0.38,0.45066666666666666
338,0.45333333333333337,0.4813333333333333
339,0.3833333333333333,0.4206666666666667
340,0.5766666666666667,0.576
341,0.48666666666666664,0.4873333333333333
342,0.65,0.6066666666666667
343,0.7066666666666667,0.6926666666666667
344,0.33999999999999997,0.41133333333333333
345,0.54,0.5313333333333333
346,0.2683333333333333,0.35733333333333334
347,0.41333333333333333,0.45933333333333337
348,0.59,0.5820000000000001
349,0.45,0.4373333333333334
350,0.45999999999999996,0.4706666666666667
351,0.6233333333333334,0.608
352,0.2783333333333333,0.4206666666666667
353,0.38333333333333336,0.44333333333333336
354,0.5066666666666666,0.5006666666666666
355,0.5533333333333333,0.5233333333333333
356,0.4066666666666667,0.43133333333333346
357,0.53,0.5266666666666667
358,0.44000000000000006,0.4286666666666667
359,0.38666666666666666,0.422
360,0.5533333333333333,0.5700000000000001
361,0.5633333333333334,0.5359999999999999
362,0.5066666666666667,0.518
363,0.31,0.44066666666666665
364,0.6233333333333333,0.6066666666666667
365,0.5366666666666666,0.524
366,0.41666666666666663,0.4333333333333333
367,0.46,0.4573333333333333
368,0.4533333333333333,0.4453333333333333
369,0.41000000000000003,0.47333333333333344
370,0.6233333333333333,0.5946666666666667
371,0.2683333333333333,0.41133333333333333
372,0.3733333333333333,0.43466666666666665
373,0.6266666666666667,0.6086666666666668
374,0.44,0.4573333333333333
375,0.45666666666666667,0.45066666666666666
376,0.30666666666666664,0.41200000000000003
377,0.5700000000000001,0.5613333333333334
378,0.28,0.3673333333333334
379,0.44,0.466
380,0.3466666666666667,0.39866666666666667
381,0.5633333333333332,0.518
382,0.29333333333333333,0.36
383,0.4933333333333333,0.45933333333333326
384,0.5666666666666667,0.5713333333333332
385,0.41,0.434
386,0.49666666666666665,0.562
387,0.38,0.42466666666666664
388,0.3766666666666667,0.41533333333333333
389,0.3566666666666667,0.4
390,0.5266666666666666,0.5166666666666668
391,0.39999999999999997,0.44733333333333325
392,0.6166666666666667,0.5786666666666667
393,0.5966666666666667,0.5573333333333333
394,0.7166666666666667,0.7146666666666667
395,0.4633333333333333,0.46399999999999997
396,0.4716666666666666,0.4646666666666667
397,0.4533333333333333,0.3986666666666666
398,0.5466666666666666,0.5173333333333333
399,0.43666666666666665,0.42666666666666664
400,0.36333333333333334,0.43066666666666664
401,0.285,0.37666666666666665
402,0.33666666666666667,0.42000000000000004
403,0.43333333333333335,0.418
404,0.44,0.42333333333333345
405,0.6833333333333333,0.6606666666666667
406,0.36666666666666664,0.46799999999999997
407,0.59,0.5753333333333334
408,0.6366666666666667,0.6393333333333333
409,0.16666666666666666,0.33533333333333337
410,0.3566666666666667,0.44266666666666676
411,0.6633333333333333,0.628
412,0.37833333333333335,0.434
