program,control_gene
Selective clearance,IFI27L2
Selective clearance,IGFBP4
Selective clearance,IGHA1
Selective clearance,IGHG1
Selective clearance,IL18BP
Selective clearance,IL1RAP
Selective clearance,IL6R
Selective clearance,IMMP2L
Selective clearance,INO80
Selective clearance,INTS10
Selective clearance,IRAK1
Selective clearance,IRF2
Selective clearance,IRF7
Selective clearance,IRX3
Selective clearance,ITFG2
Selective clearance,ITGA4
Selective clearance,ITGAX
Selective clearance,IVD
Selective clearance,JAZF1
Selective clearance,KCNK6
Selective clearance,KCTD11
Selective clearance,KCTD2
Selective clearance,KCTD5
Selective clearance,KDM3B
Selective clearance,KDM4B
Selective clearance,KIAA0753
Selective clearance,KIAA0895L
Selective clearance,KIDINS220
Selective clearance,KIF7
Selective clearance,KLF12
Selective clearance,KSR1
Selective clearance,L3HYPDH
Selective clearance,L3MBTL4
Selective clearance,LBP
Selective clearance,LDAH
Selective clearance,LDB1
Selective clearance,LEMD2
Selective clearance,LEMD3
Selective clearance,LIMD2
Selective clearance,LIMK1
Selective clearance,LIX1L
Selective clearance,LMNB2
Selective clearance,LPIN3
Selective clearance,LRBA
Selective clearance,LRCH1
Selective clearance,LRP1
Selective clearance,LRRC20
Selective clearance,LRRC29
Selective clearance,LRRC37A3
Selective clearance,LRRC61
Selective clearance,LRRK1
Selective clearance,LSM10
Selective clearance,LUC7L
Selective clearance,LZIC
Selective clearance,LZTFL1
Selective clearance,MAGOHB
Selective clearance,MAP4K4
Selective clearance,MAPK1
Selective clearance,MAPK11
Selective clearance,MAPK8IP1
Selective clearance,MAPRE3
Selective clearance,MARC1
Selective clearance,MARCH6
Selective clearance,MAX
Selective clearance,MEPCE
Selective clearance,MGST2
Selective clearance,MICA
Selective clearance,MICOS10
Selective clearance,MIIP
Selective clearance,MMP19
Selective clearance,MORN4
Selective clearance,MOSPD2
Selective clearance,MPV17
Selective clearance,MT-CYB
Selective clearance,MTPAP
Selective clearance,MYH14
Selective clearance,N4BP2L2
Selective clearance,NAT10
Selective clearance,NCAM1
Selective clearance,NCKAP5
Selective clearance,NDP
Selective clearance,NECTIN1
Selective clearance,NEURL4
Selective clearance,NFIB
Selective clearance,NFIL3
Selective clearance,NMT2
Selective clearance,NOL12
Selective clearance,NOP53
Selective clearance,NPDC1
Selective clearance,NUB1
Selective clearance,NUBPL
Selective clearance,NUP160
Selective clearance,NUP88
Selective clearance,NUP98
Selective clearance,NUS1
Selective clearance,OGFR
Selective clearance,OGG1
Selective clearance,OLFM1
Selective clearance,OLFML2B
Selective clearance,OMD
Selective clearance,OS9
