"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"COX7A2",187,0.998648420692925,0.999999999970122,120,0.990296615816327,0.999999999988964,153.5,187
"GABRB2",190,0.999117259170882,0.999999999970122,119,0.990192233220196,0.999999999988964,154.5,190
"CGAS",133,0.983337843374338,0.999999999970122,178,0.99703242545391,0.999999999988964,155.5,178
"ANKRD42",158,0.993371792622964,0.999999999970122,155,0.994871384290659,0.999999999988964,156.5,158
"TMEM173",182,0.997644861076969,0.999999999970122,134,0.993043171309554,0.999999999988964,158,182
"MCAM",151,0.990937139608316,0.999999999970122,168,0.99607562553529,0.999999999988964,159.5,168
"FLT1",71,0.890085824455143,0.999999999970122,248,0.999893109755352,0.999999999988964,159.5,248
"LGALS1",192,0.999268966706138,0.999999999970122,138,0.993837076543197,0.999999999988964,165,192
"PHB2",195,0.999401633203015,0.999999999970122,135,0.993269163664279,0.999999999988964,165,195
"RPL32P3",139,0.986507923903383,0.999999999970122,192,0.99806949560195,0.999999999988964,165.5,192
"LINC00472",38,0.7673771208387,0.999999999970122,293,0.99999999998826,0.999999999988964,165.5,293
"MEOX2",249,0.999928894221108,0.999999999970122,83,0.977733110917277,0.999999999988964,166,249
"RASGEF1B",210,0.99981749336525,0.999999999970122,125,0.99092744754431,0.999999999988964,167.5,210
"CXCL3",79,0.913920159042281,0.999999999970122,257,0.999903843693318,0.999999999988964,168,257
"CRIP1",127,0.977404614339837,0.999999999970122,210,0.999210334857949,0.999999999988964,168.5,210
"DLL4",175,0.996270259725772,0.999999999970122,164,0.995526031638142,0.999999999988964,169.5,175
"INHBB",241,0.999909391073506,0.999999999970122,98,0.984899753468596,0.999999999988964,169.5,241
"UQCRC2",150,0.989915103872793,0.999999999970122,190,0.997906652622261,0.999999999988964,170,190
"RCAN1",223,0.999861330456284,0.999999999970122,118,0.990018949706375,0.999999999988964,170.5,223
"DNM2",96,0.951476595911369,0.999999999970122,246,0.999881879028108,0.999999999988964,171,246
"CBWD5",171,0.99589681090958,0.999999999970122,174,0.996899326854705,0.999999999988964,172.5,174
"GABPA",174,0.996169068360956,0.999999999970122,173,0.996893255254203,0.999999999988964,173.5,174
"C1orf54",201,0.999699062547775,0.999999999970122,146,0.99442815706653,0.999999999988964,173.5,201
