attempt_id,n_oob_case,n_oob_control,n_unique_train,valid,invalid_reason,candidate_auc,candidate_ap,candidate_brier,ma_auc,ma_ap,ma_brier,delta_auc,delta_ap,delta_brier,candidate_best_C,ma_best_C,candidate_n_selected
38,10,3,27,True,,1.0,0.9999999999999999,0.178802381264145,1.0,0.9999999999999999,0.19724099791613683,0.0,0.0,-0.01843861665199184,0.1,0.021544346900318832,3
39,9,3,28,True,,0.6666666666666667,0.7856701940035273,0.2047904494929731,0.7037037037037037,0.9094356261022929,0.24706863404044774,-0.03703703703703698,-0.12376543209876556,-0.042278184547474645,0.1,0.001,2
40,9,4,27,True,,0.9444444444444444,0.9765432098765434,0.10507910572681979,0.75,0.8321348404681739,0.17720119997467196,0.19444444444444442,0.14440836940836954,-0.07212209424785217,21.54434690031882,0.46415888336127775,7
41,10,4,26,True,,0.75,0.8404365079365078,0.14421951674525774,0.825,0.9290262515262514,0.24660619441117634,-0.07499999999999996,-0.08858974358974359,-0.10238667766591861,0.21544346900318823,0.001,5
42,10,4,26,True,,0.775,0.8480122655122654,0.21217397421841544,0.875,0.9430122655122654,0.24399375954753572,-0.09999999999999998,-0.09499999999999997,-0.031819785329120276,100.0,0.001,16
43,10,4,26,True,,0.775,0.8480122655122654,0.15154621756613745,0.725,0.8566991341991341,0.24305725341135467,0.050000000000000044,-0.008686868686868743,-0.09151103584521722,0.21544346900318823,0.001,3
44,10,5,25,True,,0.72,0.8361979686979686,0.18364551873738885,0.52,0.7218939393939393,0.24812828166037929,0.19999999999999996,0.11430402930402928,-0.06448276292299043,0.46415888336127775,0.001,5
45,9,3,28,True,,0.8148148148148149,0.9282627865961202,0.10874919609967991,0.7037037037037037,0.8412257495590829,0.2553159447162621,0.11111111111111116,0.08703703703703725,-0.1465667486165822,100.0,100.0,11
46,14,3,23,True,,0.6190476190476191,0.825823779395208,0.22204745862542669,0.3571428571428572,0.771005494272301,0.24922039283650838,0.26190476190476186,0.054818285122906985,-0.02717293421108169,0.1,0.001,4
47,12,2,26,True,,1.0,1.0,0.07520895613694216,1.0,1.0,0.20080654931426375,0.0,0.0,-0.1255975931773216,4.6415888336127775,0.46415888336127775,12
48,12,3,25,True,,0.9166666666666667,0.9790695415695417,0.08881446848001019,0.6666666666666667,0.8775102212602213,0.24777733093772933,0.25,0.10155932030932047,-0.15896286245771912,0.46415888336127775,0.001,5
50,8,3,29,True,,0.7083333333333334,0.8338789682539683,0.17017900632118976,0.75,0.9202741702741704,0.2138222982980067,-0.04166666666666663,-0.08639520202020201,-0.043643291976816934,0.1,10.0,2
51,10,4,26,True,,1.0,0.9999999999999999,0.015350029342467871,1.0,0.9999999999999999,0.24544710440608458,0.0,0.0,-0.2300970750636167,100.0,0.001,14
52,10,3,27,True,,0.9666666666666668,0.9909090909090909,0.06860800330430022,0.9,0.9697979797979798,0.2464131145051542,0.06666666666666676,0.02111111111111108,-0.177805111200854,21.54434690031882,0.001,12
53,9,4,27,True,,0.75,0.7856701940035273,0.206642978460987,1.0,1.0000000000000002,0.184424248288155,-0.25,-0.2143298059964729,0.02221873017283199,0.1,0.021544346900318832,4
54,7,4,29,True,,0.75,0.7545918367346939,0.13208638411428184,0.9285714285714286,0.9617346938775508,0.10759022503935273,-0.1785714285714286,-0.20714285714285696,0.024496159074929108,0.46415888336127775,1.0,8
55,14,5,21,True,,0.6857142857142857,0.8001333109001175,0.20093710696189035,0.7142857142857143,0.891611644657863,0.24928807949424533,-0.02857142857142858,-0.0914783337577455,-0.048350972532354985,0.1,10.0,3
56,10,3,27,True,,0.9666666666666668,0.9909090909090909,0.12356097096200905,0.6000000000000001,0.8469769119769119,0.24686655885673148,0.3666666666666667,0.1439321789321789,-0.12330558789472243,2.154434690031882,0.001,10
57,13,5,22,True,,0.8,0.826802897956744,0.1875176741882116,0.9384615384615385,0.9774161735700198,0.24635539030431522,-0.1384615384615384,-0.15061327561327575,-0.05883771611610361,0.1,0.001,1
58,11,4,25,True,,0.7272727272727273,0.8409562659562658,0.1659035249869373,0.7954545454545454,0.9198818857909767,0.21599433496620427,-0.06818181818181812,-0.07892561983471091,-0.05009080997926696,0.21544346900318823,0.46415888336127775,3
59,11,2,27,True,,1.0,1.0,0.002353955911796419,1.0,1.0,0.24524148698463788,0.0,0.0,-0.24288753107284147,4.6415888336127775,0.001,10
60,10,4,26,True,,0.775,0.8480122655122654,0.11435720321568486,0.95,0.9833333333333333,0.18987008677323616,-0.17499999999999993,-0.1353210678210679,-0.0755128835575513,46.41588833612773,0.046415888336127774,8
61,13,3,24,True,,0.7435897435897436,0.9101362312900775,0.11283966990992382,0.7179487179487181,0.8909054620593082,0.15691328244026828,0.02564102564102555,0.019230769230769273,-0.04407361253034446,0.46415888336127775,0.46415888336127775,5
62,10,3,27,True,,1.0,0.9999999999999999,0.03142618540254794,1.0,0.9999999999999999,0.24297266371690215,0.0,0.0,-0.21154647831435422,4.6415888336127775,0.001,13
63,11,3,26,True,,0.7272727272727273,0.9008736213281667,0.2307239579891481,0.7575757575757577,0.9072838777384231,0.24735471992802888,-0.030303030303030387,-0.0064102564102563875,-0.016630761938880773,0.1,0.001,3
64,11,3,26,True,,0.696969696969697,0.85425357470812,0.19710499175402335,0.6666666666666667,0.8087990292535745,0.13737258957091303,0.030303030303030276,0.045454545454545525,0.05973240218311032,0.1,4.6415888336127775,3
65,13,4,23,True,,0.7884615384615384,0.8909054620593082,0.09431430392218376,0.9423076923076923,0.9821780783319245,0.24268441800204651,-0.15384615384615385,-0.09127261627261629,-0.14837011407986275,0.46415888336127775,0.001,6
66,10,4,26,True,,0.725,0.7904365079365079,0.13534407486515498,0.975,0.9909090909090909,0.24671288317765225,-0.25,-0.20047258297258297,-0.11136880831249726,0.46415888336127775,0.001,5
67,11,4,25,True,,0.75,0.8966495625586535,0.1771762893150886,0.8636363636363636,0.9406172110717566,0.2450414223660129,-0.11363636363636365,-0.043967648513103086,-0.06786513305092429,0.1,0.001,3
68,12,3,25,True,,0.7222222222222222,0.9031054593554594,0.15782256939650938,0.41666666666666674,0.8079966329966332,0.29252534153805926,0.30555555555555547,0.09510882635882623,-0.13470277214154988,0.21544346900318823,10.0,5
69,8,3,29,True,,1.0,1.0,0.07823929842399933,0.9583333333333334,0.9861111111111112,0.12395597706044253,0.04166666666666663,0.01388888888888884,-0.0457166786364432,100.0,0.46415888336127775,14
70,10,3,27,True,,1.0,0.9999999999999999,0.006906006359823234,1.0,0.9999999999999999,0.24453130842457774,0.0,0.0,-0.2376253020647545,4.6415888336127775,0.001,14
71,11,4,25,True,,0.75,0.8087990292535747,0.10058416413516272,0.9772727272727273,0.9924242424242424,0.13636857780852504,-0.2272727272727273,-0.1836252131706677,-0.035784413673362325,21.54434690031882,0.21544346900318823,10
72,11,4,25,True,,0.8409090909090908,0.9342069546615002,0.1275571832367328,0.6818181818181819,0.7880637039727947,0.19069452438394177,0.15909090909090895,0.14614325068870548,-0.06313734114720898,10.0,21.54434690031882,10
73,15,4,21,True,,0.95,0.9866269841269841,0.07325433683235427,0.75,0.8898958448958448,0.24482666090601302,0.19999999999999996,0.0967311392311393,-0.17157232407365874,100.0,0.001,21
74,12,3,25,True,,0.5833333333333334,0.8354869667369668,0.21705808994393505,0.6111111111111112,0.8069516132016131,0.20870527631404717,-0.02777777777777779,0.028535353535353636,0.008352813629887879,0.1,0.1,3
75,8,2,30,True,,0.75,0.9317956349206349,0.10590108415559148,0.75,0.9317956349206349,0.2463753731650431,0.0,0.0,-0.14047428900945164,21.54434690031882,0.001,16
76,8,4,28,True,,1.0,1.0,0.004240590126346198,1.0,1.0,0.14773196657109183,0.0,0.0,-0.14349137644474563,21.54434690031882,0.046415888336127774,14
77,11,2,27,True,,0.9545454545454546,0.9924242424242424,0.10883940471765885,0.5454545454545454,0.85425357470812,0.17790319673283447,0.40909090909090917,0.1381706677161224,-0.06906379201517562,46.41588833612773,1.0,14
78,11,4,25,True,,1.0,1.0,0.032637195960797234,0.9318181818181819,0.9750688705234161,0.07900958098670222,0.06818181818181812,0.024931129476583935,-0.04637238502590498,1.0,21.54434690031882,9
79,15,3,22,True,,0.688888888888889,0.874618067118067,0.18411910632367065,0.9555555555555556,0.9921568627450981,0.24475368248204232,-0.2666666666666666,-0.11753879562703107,-0.06063457615837167,0.1,0.001,3
80,10,3,27,True,,0.8666666666666667,0.9622222222222222,0.1471883484953985,0.7000000000000001,0.8480122655122654,0.16829486820441847,0.16666666666666663,0.11420995670995682,-0.021106519709019972,46.41588833612773,1.0,11
81,9,3,28,True,,0.8148148148148149,0.9282627865961202,0.12709243977624282,0.7777777777777778,0.9191718775052109,0.24545185003507689,0.03703703703703709,0.00909090909090926,-0.11835941025883406,10.0,0.001,10
82,11,3,26,True,,0.6666666666666667,0.8966495625586535,0.23609444986939213,0.5757575757575758,0.7880637039727947,0.20557388159303677,0.09090909090909094,0.10858585858585879,0.030520568276355353,0.1,100.0,3
83,12,4,24,True,,0.75,0.8763960576460577,0.13538261749858857,0.8125,0.9288991101491101,0.24617402213109513,-0.0625,-0.05250305250305243,-0.11079140463250656,0.46415888336127775,0.001,7
84,11,4,25,True,,1.0,1.0,0.0689147622789264,0.8863636363636364,0.9631641086186542,0.24443985680258526,0.11363636363636365,0.0368358913813458,-0.17552509452365886,100.0,0.001,13
85,10,3,27,True,,1.0,0.9999999999999999,0.03342428782056605,0.9666666666666668,0.9909090909090909,0.2425142569936254,0.033333333333333215,0.009090909090909038,-0.20908996917305933,100.0,0.001,18
86,9,2,29,True,,1.0,1.0000000000000002,0.0010492621170704226,0.9444444444444444,0.9888888888888889,0.16693680143471348,0.05555555555555558,0.011111111111111294,-0.16588753931764305,10.0,0.21544346900318823,12
87,11,2,27,True,,0.5,0.8087990292535745,0.17082726141363394,0.5454545454545454,0.878146348600894,0.26052785356981845,-0.045454545454545414,-0.06934731934731952,-0.0897005921561845,0.21544346900318823,0.01,6
88,10,4,26,True,,0.725,0.8322546897546897,0.14045762583857027,0.65,0.8029292929292928,0.24526585901687173,0.07499999999999996,0.02932539682539692,-0.10480823317830146,21.54434690031882,0.001,8
89,11,4,25,True,,0.7727272727272727,0.8542535747081202,0.10533524254134957,0.6590909090909091,0.8165990575081484,0.2439982550605984,0.11363636363636365,0.037654517199971815,-0.13866301251924884,1.0,0.001,7
90,9,2,29,True,,0.8888888888888888,0.9765432098765434,0.12260954645642741,0.5,0.8592953342953344,0.2478852414855391,0.38888888888888884,0.11724787558120897,-0.12527569502911168,21.54434690031882,0.001,13
91,13,4,23,True,,0.8269230769230769,0.9394966144966146,0.12079399173285767,0.7884615384615384,0.8909054620593082,0.12562864535880006,0.038461538461538436,0.048591152437306384,-0.0048346536259423895,21.54434690031882,0.21544346900318823,9
92,11,4,25,True,,0.75,0.8992358651449561,0.2067670698735672,0.7045454545454546,0.87807091898001,0.22455793099007734,0.045454545454545414,0.02116494616494613,-0.017790861116510154,0.1,0.021544346900318832,2
93,12,3,25,True,,0.6666666666666667,0.818322187072187,0.13100669442484877,0.7222222222222222,0.9265583953083955,0.2452355412802124,-0.05555555555555547,-0.1082362082362085,-0.11422884685536364,0.21544346900318823,0.001,6
94,13,3,24,True,,1.0,1.0,0.008461713341508439,0.8974358974358975,0.9751850713389175,0.2455970548516923,0.10256410256410253,0.02481492866108248,-0.23713534151018387,46.41588833612773,0.001,9
95,12,4,24,True,,0.6875,0.855857337107337,0.17570491836935753,0.8125,0.9085999648499649,0.2475252941857529,-0.125,-0.052742627742627834,-0.07182037581639536,0.21544346900318823,0.001,3
96,9,5,26,True,,0.7777777777777778,0.848492865159532,0.18994551559028397,0.6888888888888889,0.8093745760412427,0.2454846023593134,0.0888888888888889,0.039118289118289296,-0.05553908676902944,0.21544346900318823,0.001,7
97,10,3,27,True,,0.7333333333333334,0.8813455988455987,0.13198620283919646,0.8333333333333334,0.9540404040404039,0.2431390576778821,-0.09999999999999998,-0.0726948051948052,-0.11115285483868564,0.46415888336127775,0.001,6
98,13,2,25,True,,1.0,0.9999999999999998,0.027803075621760667,0.8461538461538463,0.9774161735700195,0.24515505786382602,0.15384615384615374,0.022583826429980247,-0.21735198224206537,21.54434690031882,0.001,9
99,11,2,27,True,,1.0,1.0,0.05609562824300497,0.7727272727272727,0.9536042240587697,0.3079507533929228,0.2272727272727273,0.046395775941230344,-0.25185512514991787,1.0,100.0,10
100,13,5,22,True,,0.7230769230769232,0.869545732045732,0.1899695205570141,0.6923076923076923,0.8679170188785572,0.20028742439335623,0.030769230769230882,0.0016287131671748334,-0.010317903836342124,0.1,0.021544346900318832,2
101,13,3,24,True,,0.7435897435897436,0.9101362312900775,0.06645118843345828,0.8205128205128205,0.9576590076590077,0.24188534170337328,-0.07692307692307687,-0.04752277636893021,-0.17543415326991502,4.6415888336127775,0.001,11
102,11,2,27,True,,0.7272727272727273,0.9406172110717566,0.1129309613411147,0.5,0.8087990292535745,0.10420348749705469,0.2272727272727273,0.13181818181818206,0.008727473844060016,0.46415888336127775,46.41588833612773,5
