task_id,n_rows,n_unique_task_fold,expanded_fraction,max_distance,mean_abs_expression_difference,mean_abs_logvariance_difference,complete_25_folds_x_77,all_folds_have_77_unique
282,1925,77,0.0,0,0.4710453192694805,0.040574277125460585,True,True
283,1925,77,0.0,0,0.45347155615259743,0.03982887209494483,True,True
284,1925,77,0.0,0,0.4509937905194805,0.041124539386899445,True,True
285,1925,77,0.0,0,0.4753165862175324,0.04337411606317271,True,True
286,1925,77,0.0,0,0.47084736464285715,0.04296197441994918,True,True
287,1925,77,0.0,0,0.4612223869967533,0.039757263461814775,True,True
288,1925,77,0.0,0,0.45926090443181816,0.041930710206340455,True,True
289,1925,77,0.0,0,0.484118590275974,0.04333662364387695,True,True
290,1925,77,0.0,0,0.46959876521103894,0.04395169578753369,True,True
291,1925,77,0.0,0,0.46888317420454545,0.037508871076411064,True,True
292,1925,77,0.0,0,0.48112571712662333,0.041051503452970796,True,True
293,1925,77,0.0,0,0.49538390974025975,0.03816103772359883,True,True
294,1925,77,0.0,0,0.4629354313149351,0.03896055412326982,True,True
295,1925,77,0.0,0,0.45991162095779214,0.04300917131651473,True,True
296,1925,77,0.0,0,0.4933375007305195,0.042411121965956776,True,True
297,1925,77,0.0,0,0.49067548402597405,0.043025189130419264,True,True
298,1925,77,0.0,0,0.4610752890909091,0.04110806779006537,True,True
299,1925,77,0.0,0,0.4838969406493506,0.04305830821368741,True,True
300,1925,77,0.0,0,0.4638442604220779,0.04446751823039196,True,True
301,1925,77,0.0,0,0.4828664098051948,0.04245330565718362,True,True
302,1925,77,0.0,0,0.47242365579545453,0.038714756318287614,True,True
303,1925,77,0.0,0,0.49291502740259746,0.04101801972767497,True,True
304,1925,77,0.0,0,0.4910651339123377,0.039723314226438704,True,True
305,1925,77,0.0,0,0.47789219503246755,0.04021759712997011,True,True
306,1925,77,0.0,0,0.4692278182954545,0.04046857044085285,True,True
307,1925,77,0.0,0,0.4803760370779221,0.040574195735316475,True,True
308,1925,77,0.0,0,0.46993253407467533,0.040624685571966516,True,True
309,1925,77,0.0,0,0.47904533887987016,0.03983609662644146,True,True
310,1925,77,0.0,0,0.4706568910389611,0.04067542192435595,True,True
311,1925,77,0.0,0,0.4726296711038961,0.039342129717705586,True,True
312,1925,77,0.0,0,0.4970224703896104,0.04204646271712482,True,True
313,1925,77,0.0,0,0.4866567804707793,0.03965404063442507,True,True
314,1925,77,0.0,0,0.47706145425324675,0.040997441105827974,True,True
315,1925,77,0.0,0,0.48495069194805196,0.04053292350478011,True,True
316,1925,77,0.0,0,0.4503305455357143,0.041606553026150433,True,True
317,1925,77,0.0,0,0.47172166560064926,0.042924123574763835,True,True
318,1925,77,0.0,0,0.4604312522564935,0.04024372224618511,True,True
319,1925,77,0.0,0,0.47497703180194806,0.04355117886454609,True,True
320,1925,77,0.0,0,0.45977981202922075,0.038969176065161516,True,True
321,1925,77,0.0,0,0.47314255935064936,0.04057020117521057,True,True
322,1925,77,0.0,0,0.47738863904220785,0.04121773867294746,True,True
323,1925,77,0.0,0,0.4819776503733766,0.042318866004978216,True,True
324,1925,77,0.0,0,0.47845237889610387,0.043044968336737134,True,True
325,1925,77,0.0,0,0.46159274056818184,0.042221906356336825,True,True
326,1925,77,0.0,0,0.47081919118506493,0.041068248173679205,True,True
327,1925,77,0.0,0,0.4870159963474026,0.038680628056560626,True,True
328,1925,77,0.0,0,0.4770429793993506,0.04369975891518638,True,True
329,1925,77,0.0,0,0.47031727751623376,0.039437407156199804,True,True
330,1925,77,0.0,0,0.4605597301948053,0.04105842286866859,True,True
331,1925,77,0.0,0,0.47268843988636366,0.0379908891955855,True,True
332,1925,77,0.0,0,0.4670694375811688,0.04281921100630153,True,True
333,1925,77,0.0,0,0.49066857399350644,0.03824143199916028,True,True
334,1925,77,0.0,0,0.45567119334415584,0.04304453880414052,True,True
335,1925,77,0.0,0,0.4667706492045454,0.038310989989209794,True,True
336,1925,77,0.0,0,0.4545675558441558,0.04284464357511527,True,True
337,1925,77,0.0,0,0.4800543064772727,0.04213842041147344,True,True
338,1925,77,0.0,0,0.47983493433441554,0.0422784699168333,True,True
339,1925,77,0.0,0,0.46861890587662336,0.04302316859514633,True,True
340,1925,77,0.0,0,0.49493841298701297,0.04126913708577116,True,True
341,1925,77,0.0,0,0.46353001972402597,0.04357708776748964,True,True
342,1925,77,0.0,0,0.4887732157305195,0.040344363871776166,True,True
343,1925,77,0.0,0,0.4736050890584415,0.04114522411815625,True,True
344,1925,77,0.0,0,0.47209300224025974,0.04108922575928244,True,True
345,1925,77,0.0,0,0.4783303273863636,0.04235666874266961,True,True
346,1925,77,0.0,0,0.4488748791558442,0.038123871084520346,True,True
347,1925,77,0.0,0,0.4830899289448052,0.03801762409510976,True,True
348,1925,77,0.0,0,0.4816179768344156,0.04050715711215407,True,True
349,1925,77,0.0,0,0.4719871027272728,0.04027786728577367,True,True
350,1925,77,0.0,0,0.4660758580194804,0.04206099926753799,True,True
351,1925,77,0.0,0,0.4828277090746753,0.03995058606381902,True,True
352,1925,77,0.0,0,0.48822738672077926,0.04071317332805477,True,True
353,1925,77,0.0,0,0.4786741301461038,0.04194762498922424,True,True
354,1925,77,0.0,0,0.4708502199512988,0.04259680136132573,True,True
355,1925,77,0.0,0,0.46815077407467537,0.040700265603229334,True,True
356,1925,77,0.0,0,0.48161418592532457,0.039739389414554745,True,True
357,1925,77,0.0,0,0.47493510383116877,0.03980596157820923,True,True
358,1925,77,0.0,0,0.4600428014448052,0.0409647583438261,True,True
359,1925,77,0.0,0,0.4697212293344156,0.03979965143377564,True,True
360,1925,77,0.0,0,0.47639439644480525,0.04049612544574595,True,True
361,1925,77,0.0,0,0.46699993047077926,0.041971997557490426,True,True
362,1925,77,0.0,0,0.47049877396103895,0.043088307224760175,True,True
363,1925,77,0.0,0,0.48045796590909096,0.04508819597975911,True,True
364,1925,77,0.0,0,0.48127873902597396,0.04285768382139494,True,True
365,1925,77,0.0,0,0.47661563076298696,0.04342205862862282,True,True
366,1925,77,0.0,0,0.46188853806818186,0.041195770405466944,True,True
367,1925,77,0.0,0,0.4725637558928572,0.040523239705057945,True,True
368,1925,77,0.0,0,0.481898209172078,0.040130387129149,True,True
369,1925,77,0.0,0,0.4563156744155844,0.042290777833092756,True,True
370,1925,77,0.0,0,0.47456068521103895,0.042818577931854736,True,True
371,1925,77,0.0,0,0.4552408296266233,0.042788891668264814,True,True
372,1925,77,0.0,0,0.47080445514610386,0.04183325329220384,True,True
373,1925,77,0.0,0,0.4707952402110389,0.03868105190315281,True,True
374,1925,77,0.0,0,0.47168061527597405,0.037584013718044415,True,True
375,1925,77,0.0,0,0.481174380211039,0.040622050536656386,True,True
376,1925,77,0.0,0,0.4755842275811688,0.039093562609590064,True,True
377,1925,77,0.0,0,0.46922648251623383,0.04160490709006222,True,True
378,1925,77,0.0,0,0.47239755595779215,0.04270272766851377,True,True
379,1925,77,0.0,0,0.46666649897727275,0.0397387284797727,True,True
380,1925,77,0.0,0,0.4830502513636364,0.041416621308080236,True,True
381,1925,77,0.0,0,0.4786693873701299,0.041352468036538935,True,True
382,1925,77,0.0,0,0.47815773474025974,0.04206178583042262,True,True
383,1925,77,0.0,0,0.48865078215909097,0.04232735638749407,True,True
384,1925,77,0.0,0,0.459966765275974,0.04448318780811652,True,True
385,1925,77,0.0,0,0.469410859237013,0.04334415880616189,True,True
386,1925,77,0.0,0,0.47216869844155845,0.041206828310169315,True,True
387,1925,77,0.0,0,0.48552214639610386,0.04334685087543094,True,True
388,1925,77,0.0,0,0.45496838227272723,0.04167550828695794,True,True
389,1925,77,0.0,0,0.47765754652597403,0.04247063755818054,True,True
390,1925,77,0.0,0,0.4646875919155844,0.041424627280338966,True,True
