"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","CXCR4",276,0.938566552901024,0.999854326871696,0.999999999996351,154,0.522184300341297,0.992629507852333,0.999999999970122,-0.416382252559727
"manuscript","hoa2","CYP1B1",78,0.262798634812287,0.964272389751799,0.999999999996351,11,0.0341296928327645,0.456025631508484,0.999999999970122,-0.228668941979522
"manuscript","hoa2","DDHD1",62,0.208191126279863,0.941159910567406,0.999999999996351,198,0.672354948805461,0.999675651182151,0.999999999970122,0.464163822525597
"manuscript","hoa2","DEPP1",128,0.433447098976109,0.984985422316208,0.999999999996351,49,0.16382252559727,0.831078395868757,0.999999999970122,-0.26962457337884
"manuscript","hoa2","DGKE",131,0.443686006825939,0.986281812461613,0.999999999996351,101,0.341296928327645,0.956782487997804,0.999999999970122,-0.102389078498293
"manuscript","hoa2","DLL4",272,0.924914675767918,0.999760064104544,0.999999999996351,174,0.590443686006826,0.996270259725772,0.999999999970122,-0.334470989761092
"manuscript","hoa2","DNAJA4",186,0.631399317406143,0.994223426887396,0.999999999996351,179,0.607508532423208,0.997508881454604,0.999999999970122,-0.0238907849829351
"manuscript","hoa2","DNM1L",225,0.764505119453925,0.997624439911848,0.999999999996351,251,0.853242320819113,0.999936034972213,0.999999999970122,0.0887372013651877
"manuscript","hoa2","DNM2",286,0.972696245733788,0.999988363663204,0.999999999996351,95,0.320819112627986,0.951476595911369,0.999999999970122,-0.651877133105802
"manuscript","hoa2","DUSP2",129,0.436860068259386,0.985415639601409,0.999999999996351,130,0.440273037542662,0.980210231442801,0.999999999970122,0.00341296928327645
"manuscript","hoa2","DUSP4",100,0.337883959044369,0.975497100937927,0.999999999996351,161,0.546075085324232,0.994296064794774,0.999999999970122,0.208191126279864
"manuscript","hoa2","ECRG4",282,0.959044368600683,0.999966941942892,0.999999999996351,274,0.931740614334471,0.999974292468942,0.999999999970122,-0.0273037542662116
"manuscript","hoa2","EDN1",178,0.604095563139932,0.993178904388086,0.999999999996351,124,0.419795221843003,0.975860517165808,0.999999999970122,-0.184300341296928
"manuscript","hoa2","EDNRB",237,0.805460750853242,0.998574898309277,0.999999999996351,261,0.887372013651877,0.999954661812963,0.999999999970122,0.0819112627986348
"manuscript","hoa2","EFNB1",102,0.344709897610922,0.975690017096338,0.999999999996351,79,0.266211604095563,0.914355623091354,0.999999999970122,-0.0784982935153584
"manuscript","hoa2","EGR1",9,0.0273037542662116,0.644863197500372,0.999999999996351,1,0,0.00754010645676589,0.999999999970122,-0.0273037542662116
"manuscript","hoa2","EGR3",29,0.0955631399317406,0.822341785114794,0.999999999996351,45,0.150170648464164,0.817045519838537,0.999999999970122,0.0546075085324232
"manuscript","hoa2","EIF4EBP1",250,0.849829351535836,0.999241770734873,0.999999999996351,211,0.716723549488055,0.999829943832555,0.999999999970122,-0.133105802047782
"manuscript","hoa2","EMCN",248,0.843003412969283,0.999177625748618,0.999999999996351,6,0.0170648464163823,0.149692620937453,0.999999999970122,-0.825938566552901
"manuscript","hoa2","EMP3",108,0.36518771331058,0.977111870230546,0.999999999996351,123,0.416382252559727,0.975810405678355,0.999999999970122,0.0511945392491467
"manuscript","hoa2","ENG",2,0.00341296928327645,0.252004488014306,0.999999999996351,2,0.00341296928327645,0.0148830421904829,0.999999999970122,0
"manuscript","hoa2","ERO1B",90,0.303754266211604,0.971893709752653,0.999999999996351,168,0.569965870307167,0.995766933040441,0.999999999970122,0.266211604095563
"manuscript","hoa2","F2RL3",292,0.993174061433447,0.999999999995637,0.999999999996351,292,0.993174061433447,0.999994385301729,0.999999999970122,0
"manuscript","hoa2","F8",202,0.686006825938567,0.996368472622829,0.999999999996351,143,0.484641638225256,0.987580236427949,0.999999999970122,-0.201365187713311
