Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
ATP5F1B,176,0.992384752527343,0.999999999996351,260,0.999896747949708,0.999999999992947,167,0.998284102114379,0.999999999988552,179,0.998687824604443,0.999999999994531,195.5,260,False,False
DUSP2,135,0.985415639601409,0.999999999996351,233,0.999530309908608,0.999999999992947,128,0.99642813682099,0.999999999988552,286,0.999964694062829,0.999999999994531,195.5,286,False,False
ZNF331,289,0.999972085555142,0.999999999996351,119,0.991550048700415,0.999999999992947,269,0.999792210767871,0.999999999988552,111,0.995180892616626,0.999999999994531,197.0,289,False,False
PLAUR,149,0.988858911057432,0.999999999996351,223,0.999266477922953,0.999999999992947,152,0.997770957041816,0.999999999988552,268,0.999930477431214,0.999999999994531,198.0,268,False,False
TFAM,154,0.989632709303522,0.999999999996351,277,0.99997328254384,0.999999999992947,109,0.995005317937767,0.999999999988552,253,0.999859769830985,0.999999999994531,198.25,277,False,False
ECRG4,288,0.999966941942892,0.999999999996351,111,0.99013880835383,0.999999999992947,280,0.999879088680153,0.999999999988552,116,0.995391268149994,0.999999999994531,198.75,288,False,False
MTFR1L,240,0.998450421340135,0.999999999996351,147,0.995046392394147,0.999999999992947,174,0.998426989782026,0.999999999988552,240,0.999723647391675,0.999999999994531,200.25,240,False,False
TCF15,227,0.99755008354004,0.999999999996351,211,0.998830079803041,0.999999999992947,126,0.996145428284505,0.999999999988552,237,0.999715964725304,0.999999999994531,200.25,237,False,False
CCND1,138,0.98633833061821,0.999999999996351,278,0.999974057441629,0.999999999992947,157,0.997913465668132,0.999999999988552,231,0.9996959643975,0.999999999994531,201.0,278,False,False
INHBB,157,0.98995915673632,0.999999999996351,254,0.999856792082776,0.999999999992947,147,0.997542353042312,0.999999999988552,247,0.99983041795552,0.999999999994531,201.25,254,False,False
TBK1,185,0.993281383075119,0.999999999996351,117,0.991511122194731,0.999999999992947,258,0.99971536248466,0.999999999988552,246,0.999812415400339,0.999999999994531,201.5,258,False,False
LINC00472,49,0.895801868920168,0.999999999996351,294,0.999999999992663,0.999999999992947,169,0.998352115916904,0.999999999988552,295,0.999990192496812,0.999999999994531,201.75,295,False,False
MTOR,163,0.990642571245056,0.999999999996351,272,0.999963650368377,0.999999999992947,101,0.994399269164222,0.999999999988552,271,0.999939285802544,0.999999999994531,201.75,272,False,False
GABARAPL2,232,0.997711673866717,0.999999999996351,193,0.998194916280155,0.999999999992947,176,0.998436296303667,0.999999999988552,209,0.999473544956761,0.999999999994531,202.5,232,False,False
HTRA2,285,0.999861187385322,0.999999999996351,78,0.973961657276944,0.999999999992947,267,0.999777364027933,0.999999999988552,181,0.998789029697353,0.999999999994531,202.75,285,False,False
BCL2L13,204,0.996081087361504,0.999999999996351,239,0.999578492687608,0.999999999992947,208,0.999193513390896,0.999999999988552,168,0.99845421260379,0.999999999994531,204.75,239,False,False
IKBKB,269,0.999568547729367,0.999999999996351,151,0.995574233560641,0.999999999992947,262,0.999737817236816,0.999999999988552,137,0.996839825740264,0.999999999994531,204.75,269,False,False
KEAP1,160,0.990235834527289,0.999999999996351,213,0.998878761531192,0.999999999992947,202,0.999093764691708,0.999999999988552,244,0.999789150962164,0.999999999994531,204.75,244,False,False
ZEB2,170,0.991285793515612,0.999999999996351,235,0.999538030433215,0.999999999992947,125,0.995913325181279,0.999999999988552,291,0.999983631513923,0.999999999994531,205.25,291,False,False
AKT1,268,0.999543011714015,0.999999999996351,192,0.998179358234535,0.999999999992947,207,0.999173052253246,0.999999999988552,156,0.998000072303822,0.999999999994531,205.75,268,False,False
