"profile","model_variant","donor","pathway","n_nuclear_genes","nuclear_genes","observed_mean_common_rank","empirical_p","null_model","empirical_fdr"
"official_default","original","hoa3","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",188.684210526316,0.999600019999,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","original","hoa3","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",189.272727272727,0.954202289885506,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","original","hoa3","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",146.307692307692,0.971001449927504,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","original","hoa3","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",93.9090909090909,0.235088245587721,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.783627485292402
"official_default","original","hoa3","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",140.125,0.582620868956552,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","original","hoa3","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",156.875,0.631918404079796,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","original","hoa3","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",74.625,0.163141842907855,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.783627485292402
"official_default","original","hoa3","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",27.2857142857143,0.000849957502124894,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.00849957502124894
"official_default","original","hoa3","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",212.230769230769,0.995850207489625,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999600019999
"official_default","mt_excluded","hoa2","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",199.333333333333,0.964351782410879,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",189.789473684211,1,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",194.454545454545,0.983400829958502,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",97.8461538461538,0.611069446527674,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",115.272727272727,0.810159492025399,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",177.875,0.963501824908755,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",230.875,0.99950002499875,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa2","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",53.5,0.0650467476626169,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.589720513974301
"official_default","mt_excluded","hoa2","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",61.2857142857143,0.11794410279486,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.589720513974301
"official_default","mt_excluded","hoa2","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",224.538461538462,0.999850007499625,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",183.888888888889,0.873156342182891,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",173.736842105263,0.99730013499325,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",176.727272727273,0.874156292185391,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",94.3076923076923,0.508074596270186,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",70.8181818181818,0.0749962501874906,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.374981250937453
"official_default","mt_excluded","hoa3","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",174.375,0.937403129843508,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",197.125,0.971101444927754,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",76.375,0.353182340882956,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
"official_default","mt_excluded","hoa3","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",25.2857142857143,0.00114994250287486,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.0114994250287486
"official_default","mt_excluded","hoa3","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",260.461538461538,1,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",1
