"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa3",194,"NIBAN1",9.79108376567841e-08,-0.32322979336171,5.10400907933215e-06,0.998197416418005,0.999999999992947
"hoa3",195,"COX5A",9.76443312715206e-08,-0.32393933473759,5.07626138992406e-06,0.998202322914896,0.999999999992947
"hoa3",196,"JAG1",9.52182301075155e-08,-0.330479743312629,4.82714245267064e-06,0.998246988481293,0.999999999992947
"hoa3",197,"TSPAN13",9.10588473159053e-08,-0.342049248943299,4.41462890867025e-06,0.998323564521001,0.999999999992947
"hoa3",198,"ADAMTS6",9.01979635498323e-08,-0.344502970795581,4.33155038720943e-06,0.99833941376616,0.999999999992947
"hoa3",199,"LATS1",8.97292868461662e-08,-0.34584766385856,4.28665308808669e-06,0.99834804230872,0.999999999992947
"hoa3",200,"HES1",8.80191983531374e-08,-0.350808213181571,4.12481736260224e-06,0.998379525785477,0.999999999992947
"hoa3",201,"APOD",8.66169808529889e-08,-0.354940700193256,3.99444080496972e-06,0.998405341224548,0.999999999992947
"hoa3",202,"LGALS1",8.26527522440262e-08,-0.36695740656282,3.63717791509707e-06,0.998478324420556,0.999999999992947
"hoa3",203,"GABPA",7.84681771765524e-08,-0.380217092884217,3.2782119878978e-06,0.998555364305787,0.999999999992947
"hoa3",204,"TRAP1",7.84605602393802e-08,-0.380241802130466,3.27757558410389e-06,0.998555504536995,0.999999999992947
"hoa3",205,"VSIR",7.75923380124302e-08,-0.383072518197665,3.20543948642063e-06,0.998571488895459,0.999999999992947
"hoa3",206,"GBP1",7.72107949447418e-08,-0.384325490444433,3.17399292098827e-06,0.998578513273703,0.999999999992947
"hoa3",207,"AQP7",7.40331819225986e-08,-0.394982193300243,2.91811724618906e-06,0.998637014552541,0.999999999992947
"hoa3",208,"CRIP1",7.37417298644413e-08,-0.395980085105762,2.89518652354677e-06,0.99864238031583,0.999999999992947
"hoa3",209,"RPS6KA5",6.54048463040054e-08,-0.426139540039347,2.27755967537371e-06,0.998795866111549,0.999999999992947
"hoa3",210,"FILIP1L",6.43119130564437e-08,-0.430346258158837,2.20207832970779e-06,0.998815987510212,0.999999999992947
"hoa3",211,"TCF15",6.35464625460664e-08,-0.433330881967539,2.14997131342643e-06,0.998830079803041,0.999999999992947
"hoa3",212,"PRDX3",6.31951079552776e-08,-0.434711697681385,2.1262622377557e-06,0.998836548401346,0.999999999992947
"hoa3",213,"KEAP1",6.09022192009285e-08,-0.443895784540284,1.97476827778036e-06,0.998878761531192,0.999999999992947
"hoa3",214,"PRKX",6.0742953615424e-08,-0.444545189513522,1.96445333725315e-06,0.998881693683525,0.999999999992947
"hoa3",215,"TNFRSF4",5.9192071867026e-08,-0.450950110928598,1.8654215486664e-06,0.998910246127217,0.999999999992947
"hoa3",216,"MGP",5.76648420159864e-08,-0.457406336402139,1.77040292774597e-06,0.998938363130003,0.999999999992947
"hoa3",217,"TSC2",5.54473768899127e-08,-0.467059242780148,1.63686143502324e-06,0.998979187683463,0.999999999992947
"hoa3",218,"RPS6KB1",5.36971781440842e-08,-0.474926024074999,1.53515712706832e-06,0.999011409649716,0.999999999992947
"hoa3",219,"CD14",5.20006521790433e-08,-0.482774464857712,1.43968502397661e-06,0.999042643476856,0.999999999992947
"hoa3",220,"BNIP3",4.85833710275797e-08,-0.499307490530498,1.25668142952807e-06,0.999105557206705,0.999999999992947
"hoa3",221,"ATG5",4.69800261175367e-08,-0.507427523681064,1.17510429553764e-06,0.999135075531562,0.999999999992947
