"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"ADAMTS9",74,0.931724367716471,0.99999999999946,47,0.942928158495811,0.99999999999986,60.5,74
"LEPR",47,0.865148070141191,0.99999999999946,75,0.978800706976091,0.99999999999986,61,75
"AKAP12",43,0.857584309594209,0.99999999999946,82,0.981821824346959,0.99999999999986,62.5,82
"MIR22HG",82,0.941533366443631,0.99999999999946,43,0.927535108245133,0.99999999999986,62.5,82
"SEMA3G",40,0.847542946188355,0.99999999999946,85,0.982633060234426,0.99999999999986,62.5,85
"JAG2",36,0.84113592038782,0.99999999999946,89,0.984303962287991,0.99999999999986,62.5,89
"MT2A",58,0.888412690044037,0.99999999999946,69,0.970670880634846,0.99999999999986,63.5,69
"C2CD4B",106,0.972976266952019,0.99999999999946,21,0.84209530009766,0.99999999999986,63.5,106
"CYP1B1",70,0.921425730307787,0.99999999999946,59,0.956916664271437,0.99999999999986,64.5,70
"CALCOCO2",117,0.977981358630895,0.99999999999946,18,0.821053153266053,0.99999999999986,67.5,117
"KDR",37,0.841997902066674,0.99999999999946,99,0.986537214104991,0.99999999999986,68,99
"NDUFA1",75,0.933586897793825,0.99999999999946,62,0.96418492475416,0.99999999999986,68.5,75
"CAT",92,0.95976490799013,0.99999999999946,49,0.944169309413231,0.99999999999986,70.5,92
"TSPAN13",33,0.825384234137579,0.99999999999946,112,0.989043207846692,0.99999999999986,72.5,112
"PDGFB",54,0.881922079490926,0.99999999999946,92,0.984870625229843,0.99999999999986,73,92
"VCAN",129,0.983302065233436,0.99999999999946,17,0.818849949844758,0.99999999999986,73,129
"SOD1",110,0.974292441303958,0.99999999999946,42,0.927295359884571,0.99999999999986,76,110
"ATP5MC1",118,0.978773365290253,0.99999999999946,35,0.906458259418347,0.99999999999986,76.5,118
"LTBP4",53,0.881593287904161,0.99999999999946,102,0.987333666735049,0.99999999999986,77.5,102
"CXCL12",21,0.767503566850706,0.99999999999946,134,0.993082420275121,0.99999999999986,77.5,134
"SYNJ2",136,0.987050693091504,0.99999999999946,22,0.854610152310754,0.99999999999986,79,136
"ATP5F1B",107,0.973113114311521,0.99999999999946,53,0.95166496065293,0.99999999999986,80,107
"IER3",62,0.901036653127515,0.99999999999946,100,0.986659846998335,0.99999999999986,81,100
"VSIR",49,0.875160410346479,0.99999999999946,115,0.990375646729198,0.99999999999986,82,115
"ATP13A3",79,0.936501412431883,0.99999999999946,88,0.984210123196892,0.99999999999986,83.5,88
"AC010359.3",59,0.888941363644046,0.99999999999946,108,0.988463444002512,0.99999999999986,83.5,108
"PPP1R14A",56,0.887959204940843,0.99999999999946,111,0.988891845325003,0.99999999999986,83.5,111
"COX7A2",96,0.963759006194323,0.99999999999946,72,0.973288352211185,0.99999999999986,84,96
"KCNQ1OT1",61,0.898264675328301,0.99999999999946,109,0.988544672688493,0.99999999999986,85,109
"FILIP1",81,0.941525983677007,0.99999999999946,93,0.98499530465591,0.99999999999986,87,93
"EFNB1",73,0.930265846668942,0.99999999999946,103,0.987412742830788,0.99999999999986,88,103
"NDUFB8",124,0.98052002516205,0.99999999999946,54,0.954055224952176,0.99999999999986,89,124
"B3GNT5",144,0.990957487403864,0.99999999999946,36,0.909449127258028,0.99999999999986,90,144
"CNKSR3",77,0.934882432352764,0.99999999999946,106,0.98808353420781,0.99999999999986,91.5,106
"ADAMTS6",64,0.916203993890127,0.99999999999946,121,0.99099193207111,0.99999999999986,92.5,121
"AQP7",55,0.886049382089019,0.99999999999946,130,0.992702314377927,0.99999999999986,92.5,130
"SOD2",108,0.973551540346824,0.99999999999946,81,0.981681772280184,0.99999999999986,94.5,108
"BIRC3",151,0.992021322181877,0.99999999999946,39,0.91455134989543,0.99999999999986,95,151
"CCL2",116,0.977500341307328,0.99999999999946,78,0.979523870773968,0.99999999999986,97,116
"ACE",57,0.88798461918897,0.99999999999946,138,0.993840116616017,0.99999999999986,97.5,138
"IL32",101,0.967596907027468,0.99999999999946,95,0.985151206051071,0.99999999999986,98,101
"NFE2L2",181,0.996193101481236,0.99999999999946,16,0.817640728393451,0.99999999999986,98.5,181
"CDH13",60,0.896234339060274,0.99999999999946,145,0.994577863094391,0.99999999999986,102.5,145
"FMO2",146,0.991156150869749,0.99999999999946,61,0.962235583516909,0.99999999999986,103.5,146
"VCP",100,0.966523126458434,0.99999999999946,113,0.990038548236549,0.99999999999986,106.5,113
"SYT11",91,0.957026563957749,0.99999999999946,122,0.991283429038199,0.99999999999986,106.5,122
